,EBIT / total assets,short-term liabilities / total assets,current assets / short-term liabilities,(current assets - inventory - receivables) / short-term liabilities,retained earnings / total assets,equity / total assets,total sales / total assets,(gross profit + depreciation) / total liabilities,gross profit / sales,total liabilities / ((profit on operating activities + depreciation) * (12/365)),(inventory * 365) / cost of products sold,profit on sales / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,equity / fixed assets,logarithm of total assets,(total liabilities - cash) / sales,(short-term liabilities * 365) / cost of products sold),sales / short-term liabilities,operating expenses / total liabilities,profit on operating activities / sales,rotation receivables + inventory turnover in days,(receivables * 365) / sales,working capital,(sales - cost of products sold) / sales,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),total costs /total sales,long-term liabilities / equity,sales / receivables,sales / fixed assets,working capital / total assets,class
102,0.052055,0.11262,4.691,2.6737,0.24479,0.8262700000000001,0.96685,1.0832,0.054641,0.032243,3.5116,0.044902,0.31053,0.8262700000000001,1.7517,5.016,0.11212,0.12367,8.4594,0.39871,0.047132,87.04,83.683,43128.0,0.044168,0.049473,0.95583,0.0,4.3617,2.0197,0.41568,0
104,0.006313,0.22554000000000002,2.3268,0.068448,0.14885,0.72483,0.8493299999999999,0.19846,0.0075159,0.12256,136.77,0.023622999999999998,0.17759,0.72483,1.5253,4.6484,0.28085,0.28392,3.7241,0.095248,0.028124,221.33,91.988,13317.0,0.054263,0.011674,0.94574,0.031002,3.9679,1.7675,0.29924,0
105,0.017209000000000002,0.1923,1.6972,0.0026026,0.069214,0.71024,0.8259799999999999,0.22649,0.021079,0.13334,77.745,0.023025999999999998,0.10678,0.71024,1.0544,4.8909,0.3543,0.2424,4.2455,0.079466,0.028203,145.69,70.142,10428.0,0.028294,0.0060743,0.97171,0.13721,5.2037,1.212,0.13407,0
107,0.072167,0.16908,3.4185,0.98109,0.09359400000000001,0.78719,0.88281,0.50647,0.081747,0.067757,107.86,0.33204,0.0,0.70438,1.8654,5.2325,0.23951,0.29605,5.2213,2.701,0.078272,170.39,100.61,3.4185,0.37611,0.0,0.62922,0.053814999999999995,3.6278,2.092,0.40892,0
108,0.17943,0.155,1.7913,0.51418,0.6061300000000001,0.83721,1.3206,1.1598,0.15012,0.078081,30.401,0.062846,0.66062,0.83721,1.159,4.235,0.066123,0.13665,7.7112,0.39825,0.052582,60.449,31.598,2106.9,0.051024,0.19666,0.94898,0.0033561,11.551,1.6546,0.12264000000000001,0
109,0.078354,0.5333600000000001,1.4783,0.019941,0.25365,0.40085,1.6326,0.19029,0.048382,0.15762,48.644,0.088175,0.32249,0.40085,1.8948,4.646,0.32549,0.35088,3.0364,0.16428,0.054447,175.31,129.65,11289.0,0.061377,0.15265,0.93862,0.008412000000000001,2.8153,7.6553,0.25509,0
111,0.11685999999999999,0.37006,1.0878,0.064161,0.15549000000000002,0.12258,1.2818,0.22354,0.09121,0.11971,114.02,0.14982,0.19506,0.12258,0.20518,4.5215,0.48571,0.32747,3.4622,0.23229,0.11694,107.92,7.3491,1079.7,0.11798,0.7179399999999999,0.88202,2.2427,49.666,2.1445,0.032493,0
112,0.41401000000000004,0.13053,6.3166,4.0112,0.0,0.8271799999999999,1.3054,2.4781,0.31715,0.013992,37.89,0.40769,0.0,0.7608699999999999,4.713,4.9796,-0.26865,0.1454,10.001,5.1945,0.30447,84.138,58.081,66208.0,0.31231,0.39642,0.69298,0.0,6.2843,7.4379,0.69396,0
113,0.16142,0.49785,1.3095,0.018383,0.1383,0.3665,2.2835,0.3413,0.072087,0.11053,42.964,0.13566,0.17483,0.3665,1.053,5.403,0.26063,0.2367,4.4977,0.23107,0.060586,104.78,64.421,38976.0,0.060669,0.35396,0.93933,0.24356,5.6658,6.4335,0.15409,0
117,-0.021852,0.62616,0.65048,0.047911,-0.014047,0.19299000000000002,1.1211,0.01613,-0.019583,0.35979,42.898,0.038872000000000004,-0.0073829,0.19299000000000002,0.32561,5.8584,0.71685,0.58247,1.7821,0.048168,0.034836,123.42,82.089,-157970.0,0.036616,-0.12365,0.96338,0.9371299999999999,4.4464,1.8827,-0.21885,0
118,0.0016699999999999998,0.31039,1.5668,0.30182,0.22546999999999998,0.65825,1.3573,0.14033,0.0012373,0.14088,44.549,0.030548000000000002,0.25806,0.65825,1.2814,4.223,0.16321,0.23521,4.3483,0.09842,0.022634,106.18,62.627,2940.2,0.022263,0.002537,0.97774,0.0,5.8281,2.6274,0.17593,0
119,-0.17747000000000002,0.15682000000000001,4.315,0.61118,0.52495,0.8269200000000001,1.0718,-0.57723,-0.17096,-0.057644,88.012,-0.17634,0.68249,0.8269200000000001,2.5576,3.7712,0.085705,0.12838,6.6193,-1.0793,-0.16988,204.24,100.67,3069.6,-0.17676,-0.22554000000000002,1.1768,0.007938299999999999,3.6258,3.2106,0.51986,0
121,-0.056009,0.11760999999999999,3.9071,1.5096,0.040769,0.7397699999999999,0.94904,0.074977,-0.062957,0.71289,66.348,-0.059404,0.070343,0.7397699999999999,1.3687,4.4062,-0.065659,0.12426,7.5642,-0.50508,-0.066772,115.69,45.1,8712.3,-0.063911,-0.078952,1.0639,0.0,8.0932,1.646,0.34191,0
123,0.41828000000000004,0.46395,2.0035,0.26997,1.4576,0.53605,2.2915,0.9275,0.18317,0.035946,52.477,0.4123,1.4576,0.53605,7.6073,4.0763,0.14989,0.25268,4.922,0.88867,0.18055,128.56,86.362,5550.3,0.19593,0.7803,0.80407,0.0,4.2264,32.406,0.46558999999999995,0
126,-0.055837,0.33853,2.0587,0.58641,8.525700000000001e-05,0.6419100000000001,0.98354,-0.0684,-0.057776,-0.30783,127.86,-0.068837,0.0054509,0.6419100000000001,2.1181,5.3148,0.14522,0.32577,2.8549,-0.20334,-0.071227,188.24,50.762,73989.0,-0.075247,-0.088377,1.0752,0.0,7.1904,3.189,0.35841,0
128,-0.008292299999999999,0.2649,2.8998,2.3401,-0.016777,0.72975,0.84446,0.048686,-0.010048,0.18038,20.083,0.027093,0.010962,0.72975,3.1479,5.354,0.14296,0.33465,3.1154,0.10228,0.032829,65.575,46.312,113700.0,0.040809,-0.020937,0.95919,0.0,7.8813,3.5599,0.50327,0
129,0.031113,1.0828,0.71549,0.16147,-0.021136000000000002,-0.18159,1.7995,0.050653,0.017599,0.4247,48.002,0.060088,-0.021136,-0.18159,-0.80614,5.3103,0.51361,0.6479,1.6326,0.055492,0.033989,123.86,78.479,-62942.0,0.054634,-0.17134000000000002,0.94537,0.0,4.6509,7.8483,-0.30806999999999995,0
133,0.029214999999999998,0.38359,1.7669,0.45395,0.096715,0.60652,1.7126,0.2659,0.017267,0.096287,33.23,0.058191,0.1246,0.60652,1.8822,4.9319,0.12405,0.23631,4.4109,0.1517,0.034393,108.65,76.766,25148.0,0.040605,0.036999000000000004,0.9594,0.0,4.7547,5.2507,0.29418,0
134,0.23295,0.35631999999999997,2.6857,0.42751,0.42521000000000003,0.63752,2.3217,0.70607,0.10092,0.046457,1.6266,0.23353000000000002,0.53864,0.63752,14.81,4.5093,0.089596,0.17166,6.4783,0.65539,0.10117,127.23,125.77,19406.0,0.10078,0.29216,0.89922,0.0,2.9022,53.623,0.60063,0
138,0.050682,0.42763999999999996,1.3599,0.76674,0.067873,0.56353,2.0355,0.37581,0.025634,0.078729,4.3904,0.068648,0.13035,0.56353,1.3468,4.0079,0.05224,0.2186,4.6233,0.15966,0.034721,46.833,42.488,1567.6,0.010528,0.07688099999999999,0.98947,0.0041016,8.5906,4.7251,0.15392999999999998,0
139,-0.033935,0.9384399999999999,0.74953,0.1309,-0.32566999999999996,-0.057261,1.9755,-0.0031909,-0.018272,0.39784,68.487,0.048339,-0.32236,-0.057261,-0.19305,4.4025,0.45552,0.51016,1.9791,0.050427,0.026027,114.09,46.262,-5938.6,0.0095505,0.62154,0.99045,-0.35181,7.8898,6.2615,-0.23505,0
140,0.037718,0.45906,1.6291,0.11014,0.24172,0.50145,2.2571,0.14015,0.017096,0.19848,37.977,0.04985,0.31969,0.50145,1.9887,4.0562,0.19368,0.21202,4.806,0.10474,0.022595,115.36,78.088,3286.9,0.018612,0.054478,0.98139,0.033639999999999996,4.6742,8.7496,0.28879,0
141,0.038055,0.53922,1.2672,0.11932,0.067966,0.25751999999999997,1.046,0.11603,0.042135,0.21575,145.39,0.063064,0.090762,0.25751999999999997,0.81312,4.163,0.70142,0.57164,1.675,0.091672,0.069826,250.14,98.294,2097.0,-0.044425,0.10661,1.0444,0.57749,3.7133,2.8517,0.14407,0
147,0.21283000000000002,0.30617,2.0536,0.39343,0.37018,0.56189,1.4287,0.56276,0.15887,0.067334,43.961,0.18135,0.45985,0.56189,1.5135,4.3595,0.29029,0.25652,4.3755,0.42905,0.13537,138.49,99.324,7380.9,0.10907,0.30538000000000004,0.89093,0.20734,3.6748,3.6084,0.32258000000000003,0
148,0.21283000000000002,0.30617,2.0536,0.39343,0.37018,0.56189,1.4287,0.56276,0.15887,0.067334,43.961,0.18135,0.45985,0.56189,1.5135,4.3595,0.29029,0.25652,4.3755,0.42905,0.13537,138.49,99.324,7380.9,0.10907,0.30538000000000004,0.89093,0.20734,3.6748,3.6084,0.32258000000000003,0
149,0.010454999999999999,0.10679000000000001,3.4102,0.11551,0.017118,0.6645,1.0233,0.20127,0.010508,0.20407,79.213,-7.2326e-05,0.028582,0.6645,1.0451,4.9246,0.25194,0.10789,9.3167,-0.00027596,-7.2695e-05,129.08,50.269,21637.0,0.005128,0.0090264,0.99487,0.23371999999999998,7.261,1.5648,0.25739,0
152,0.013903,0.30975,2.3181,0.04524,-0.038843,0.6259,1.4118,0.19922,0.010027,0.15682,54.095,0.01721,-0.050702,0.6259,2.2198,4.2774,0.22728,0.23046,4.4762,0.05424,0.012412,185.33,132.9,7733.4,0.030644,0.027445999999999998,0.96936,0.012042,2.7465,4.9175,0.40828000000000003,0
157,0.096291,0.050002,13.548,5.4508,0.47641999999999995,0.9214100000000001,1.4345,3.266,0.06769,0.0096514,59.633,0.10330999999999999,0.59806,0.9214100000000001,2.8563,4.3412,-0.15555,0.037909,28.45,2.0662,0.072627,103.88,48.59,13763.0,0.072795,0.081738,0.9272,0.0,7.5118,4.4098,0.62741,0
161,0.022155,0.561,1.2938,0.017344,0.14893,0.2724,1.6753,0.090153,0.013354,0.15308,45.158,0.11210999999999999,0.19146,0.2724,0.9936,4.6411,0.43031,0.36278,2.9572,0.15531,0.067575,157.55,115.46,7212.8,0.067887,0.055840999999999995,0.93211,0.59043,3.1613,6.0513,0.16484000000000001,0
165,0.19055,0.10352,6.7322,0.36697,0.6422399999999999,0.8856200000000001,1.1044,2.0241,0.18275,0.016646,238.19,0.18547,0.64224,0.8856200000000001,2.9221,4.1734,0.066224,0.1145,10.072,1.7916,0.17788,230.67,24.119,8845.7,0.13285,0.21516,0.86715,0.0,15.133,3.4403,0.59341,0
168,0.5203300000000001,0.35362,2.698,1.2158,2.4283,0.56134,2.5068,1.5303,0.20984,0.022237,5.907,0.50202,2.9986,0.56134,12.223,3.8845,-0.029832,0.17882,7.0122,1.4196,0.20245,77.152,72.441,4602.4,0.20252,0.74857,0.79748,0.0,5.0386,53.996,0.60045,0
172,0.03157,0.15028,3.6554,0.63037,0.07309600000000001,0.78199,1.2762,0.42347,0.025471,0.073979,49.557,0.036134,0.10798,0.78199,1.7352,4.6262,0.11169,0.12512,8.2475,0.16574,0.029153,133.87,85.851,16875.0,0.030947,0.016481,0.96905,0.086609,4.2515,2.7503,0.39905999999999997,0
176,0.007875199999999999,0.29506,1.8776,0.2817,0.0,0.62679,0.87082,0.10991,0.0090434,0.13791,131.53,0.2597,0.0,0.6158600000000001,1.4054,5.056,0.33537,0.45489,2.9513,1.738,0.065524,197.37,99.397,1.8776,0.29822,0.0097458,0.79045,0.08949299999999999,3.6721,1.9525,0.25894,0
177,0.13571,0.16184,4.9159,0.35548,0.47838,0.78201,1.9581,1.0427,0.071027,0.02185,32.412,0.21048000000000003,0.61024,0.78201,3.8258,4.8908,0.080176,0.096771,11.806,1.3005,0.11016,140.99,112.62,49285.0,0.12472,0.12423,0.87528,0.0,3.2409,9.3476,0.63375,0
178,-0.16622,0.62331,1.1181,0.01455,0.08419,0.36138000000000003,1.5416,-0.21296,-0.10882,-0.17281,22.265,-0.15206,0.097372,0.36138000000000003,1.1923,5.3958,0.40492,0.3718,2.4505,-0.24396,-0.099555,164.37,139.93,18309.0,-0.097568,-0.37446999999999997,1.0976,0.0,2.6084,5.0397,0.073602,0
